City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kununurra,-15.7667,128.7333,33.99,59,36,4.12,AU,1731370319
332,fort polk south,31.0511,-93.2158,20.78,73,0,2.06,US,1731370320
333,howrah,22.5892,88.3103,23.0,83,40,2.06,IN,1731370321
334,sinop,41.7711,34.8709,6.98,91,59,0.75,TR,1731370323
335,goundam,16.4145,-3.6708,24.3,16,3,4.55,ML,1731370324
336,jaru,-10.4389,-62.4664,26.64,73,100,0.51,BR,1731370325
337,borba,-4.3878,-59.5939,27.22,69,100,1.63,BR,1731370326
338,kijang,35.2442,129.2139,14.39,68,0,1.23,KR,1731370327
339,nemuro,43.3236,145.575,7.45,68,76,5.66,JP,1731370328
340,taoudenni,22.6783,-3.9836,24.4,18,25,2.69,ML,1731370329
341,wickenburg,33.9686,-112.7296,24.43,16,0,1.79,US,1731370330
342,roma,43.2128,-75.4557,10.76,95,100,5.66,US,1731370332
343,klyuchi,52.2667,79.1667,-7.47,80,97,6.79,RU,1731370333
344,kacanik,42.2319,21.2594,0.67,93,45,1.27,XK,1731370334
345,celinac,44.7228,17.3278,2.37,96,47,0.22,BA,1731370335
346,vorgashor,67.5833,63.95,-15.28,95,100,3.51,RU,1731370079
347,quellon,-43.1167,-73.6167,9.6,93,100,2.53,CL,1731370337
348,luanda,-8.8368,13.2343,25.1,82,76,3.03,AO,1731370338
349,magadan,59.5667,150.8,-12.5,71,100,4.5,RU,1731370071
350,chernyshevsk,52.5243,117.0174,-21.29,100,97,0.51,RU,1731370340
351,pathein,16.7833,94.7333,22.71,95,85,1.89,MM,1731370342
352,carnarvon,-24.8667,113.6333,22.42,54,15,9.19,AU,1731370343
353,san diego country estates,33.0067,-116.7836,18.74,48,0,4.12,US,1731370346
354,mercedes,-34.6515,-59.4307,14.88,35,0,3.8,AR,1731370347
355,mellouleche,35.1662,11.035,19.3,69,100,3.96,TN,1731370348
356,bukittinggi,-0.3091,100.3706,18.66,98,99,0.63,ID,1731370350
357,atamyrat,37.8357,65.2106,11.03,50,79,2.75,TM,1731370351
358,vila franca do campo,37.7167,-25.4333,20.23,99,70,7.1,PT,1731370124
359,trinidad,-14.8333,-64.9,28.67,66,80,2.25,BO,1731370353
360,norton,-17.8833,30.7,21.27,63,96,4.54,ZW,1731370354
361,contamana,-7.3333,-75.0167,28.85,58,59,1.32,PE,1731370355
